ATTRIBUTE,DESCRIPTION,
net_profile.tcpproxy_manual,"Description: Count of TCP profile having custom TCP Proxy Settings
Recommended value/Threshold: https://avinetworks.com/docs/18.2/architectural-overview/templates/profiles/tcpudp-profile/#custom"
net_profile.tcpproxy_nagles,"Description: Count of TCP profile having nagles alogrithm enalbed
Recommended value/Threshold: https://avinetworks.com/docs/18.2/architectural-overview/templates/profiles/tcpudp-profile/#custom"
net_profile.tcpfast_dsr,"Description: Count of TCP profile having Direct Server Return enabled.
Recommended value/Threshold: https://avinetworks.com/docs/18.2/architectural-overview/templates/profiles/tcpudp-profile/#tcp-fast-path"
policies_datascript_info.ds_refs,"Description: Count of DataScript reference in Virtual Services
Recommended value/Threshold: NA"
policies_datascript_info.l4_refs,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
vs_analytics.non_significant,"Description: Count of Virtual Service having Non-Significant logs enabled in VS Analytics
Recommended value/Threshold: https://avinetworks.com/docs/18.2/architectural-overview/applications/virtual-services/create-virtual-service/#non-significant-logs"
vs_analytics.all_headers,"Description: Count of Virtual Service having All header enabled in VS Analytics
Recommended value/Threshold: https://avinetworks.com/docs/18.2/architectural-overview/applications/virtual-services/create-virtual-service/#non-significant-logs"
vs_analytics.realtime_metrics,"Description: Count of Virtual Serivce having Realtime metics enabled in VS Analytics
Recommended value/Threshold: https://avinetworks.com/docs/18.2/architectural-overview/applications/virtual-services/create-virtual-service/#analytics"
vs_analytics.client_insights,"Description: Count of Virtual Service having Client insight enabled in VS Analytics
Recommended value/Threshold: https://avinetworks.com/docs/18.2/architectural-overview/applications/virtual-services/create-virtual-service/#client-insights"
analytics_profile.stream_logs,"Description: Count of Analytics profile that streams client Log to external log server
Recommended value/Threshold: https://avinetworks.com/docs/18.2/streaming-avi-logs-to-external-server/"
total_pools.ref_default_hm,"Description: Count of pools refering system default health monitor
Recommended value/Threshold: NA"
total_pools.ref_custom_hm,"Description: Count of pools refering customer health monitor
Recommended value/Threshold: NA"
total_pools.server_reselect_enabled,"Description: Total pools with server reselect configuration for http requests.
Recommended value/Threshold: https://avinetworks.com/docs/18.2/http-server-reselect/"
total_pools.ref_application_persistence_profile,"Description: Total pools with a persistence profile configured.
Recommended value/Threshold: https://avinetworks.com/docs/18.2/overview-of-server-persistence/"
total_pools.passive_hm_enabled,"Description: Total pools with passive health monitors configued.
Recommended value/Threshold: https://avinetworks.com/docs/18.2/overview-of-health-monitors/"
total_ssl_prof.comp_rating_SCORE_EXCELLENT,"Description: Total SSL/TLS profiles rated with the highest score compatibility wise
Recommended value/Threshold: https://avinetworks.com/docs/18.2/ssl-tls-profile/"
total_ssl_prof.sec_score_100,"Description: Total SSL/TLS profiles rated with the highest score security wise
Recommended value/Threshold: https://avinetworks.com/docs/18.2/ssl-tls-profile/"
total_ssl_prof.perf_rating_SCORE_EXCELLENT,"Description: Total SSL/TLS profiles rated with the highest score performance wise
Recommended value/Threshold: https://avinetworks.com/docs/18.2/ssl-tls-profile/"
total_ssl_prof.comp_rating_SCORE_non-EXCELLENT,"Description: Total SSL/TLS profiles rated without the highest score compatibility wise
Recommended value/Threshold: https://avinetworks.com/docs/18.2/ssl-tls-profile/"
total_ssl_prof.sec_score_below_100,"Description: Total SSL/TLS profiles rated without the highest score security wise
Recommended value/Threshold: https://avinetworks.com/docs/18.2/ssl-tls-profile/"
total_ssl_prof.perf_rating_SCORE_non-EXCELLENT,"Description: Total SSL/TLS profiles rated without the highest score performance wise
Recommended value/Threshold: https://avinetworks.com/docs/18.2/ssl-tls-profile/"
total_bgp_prof.default_hold_time,"Description: Total BGP profiles configured with a Hold Time value of 180 seconds (default)
Recommended value/Threshold: https://avinetworks.com/docs/18.2/bgp-support-for-virtual-services/"
total_bgp_prof.hold_time_less_then_default,"Description: Total BGP profiles configured with a Hold Time value different than the default of 180 seconds
Recommended value/Threshold: https://avinetworks.com/docs/18.2/bgp-support-for-virtual-services/"
total_bgp_prof.default_keepalive_interval,"Description: Total BGP profiles configured with a Keep Alive value of 60 seconds (default)
Recommended value/Threshold: https://avinetworks.com/docs/18.2/bgp-support-for-virtual-services/"
total_bgp_prof.keepalive_interval_less_then_default,"Description: Total BGP profiles configured with a Keep Alive value less than the default of 60 seconds
Recommended value/Threshold: https://avinetworks.com/docs/18.2/bgp-support-for-virtual-services/"
total_se_debug_flag.enabled,"Description: Total number of Service Engines with the debug flag enabled
Recommended value/Threshold:  This setting is used for debugging purposes and should not be left enabled if not required."
total_cert.near_to_expire_in_60days,"Description: Total number of certificates with an expiry date of less than 60 days away from the date of the data collection.
Recommended value/Threshold: "
license.expired,"Description: Total number of expired NSX-ALB licenses
Recommended value/Threshold: "
license.valid,"Description: Total number of valid NSX-ALB licenses
Recommended value/Threshold: "
license._name_Eval_elapsed_days,"Description: Number of days elapsed since license expiration date.
Recommended value/Threshold: "
license._name_Trial_days_valid,"Description: Number of days valid until license expiration date.
Recommended value/Threshold:"
hm_interval.less_then_default_send_interval,"Description: Number of health monitors with send interval values different than the default values.
Recommended value/Threshold: https://avinetworks.com/docs/18.2/overview-of-health-monitors/"
cloud.Petr-se-xdbav_object_id,"Description: Internal object ID for VMware type clouds
Recommended value/Threshold:"
cloud.Petr-se-xdbav_host_placement,"Description: Object reference for the ESXi host where the SE VM is placed
Recommended value/Threshold: "
cloud.vcenter_url,"Description: vCenter URL for VMware type cloud
Recommended value/Threshold: "
cloud.Petr-se-xdbav_antiaffinity_name,"Description: Anti-affinity rule names configured on the cluster where SEs are deployed on VMware type clouds 
Recommended value/Threshold:"
cloud.Petr_controller1_drs_setting,"Description: Cluster DRS setting configured on the cluster where controller nodes  are deployed on VMware type clouds 
Recommended value/Threshold:"
cloud.Petr_controller1_host_placement,"Description: Object reference for the ESXi host where the controller VM is placed
Recommended value/Threshold: "
cloud.Petr-se-xdbav_drs_setting,"Description: Cluster DRS setting configured on the cluster where SEs are deployed on VMware type clouds 
Recommended value/Threshold:"
cloud.prefer_static_routes,"Description: Setting to prefer Static Routes vs Directly Connected Network
Recommended value/Threshold: https://avinetworks.com/docs/18.2/virtual-service-placement-settings/"
cloud.Petr-se-kimwm_antiaffinity_setting,"Description: Anti-affinity rule type configured on the cluster where SEs are deployed on VMware type clouds 
Recommended value/Threshold:"
cloud.Petr-se-xdbav_cluster,"Description: Object name for the VMware cluster where the SE VM is placed
Recommended value/Threshold: "
cloud.dhcp_enabled,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
cloud.discovered_datacenter,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
cloud.management_nw,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
cloud.Petr_controller1_antiaffinity_setting,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
cloud.Petr-se-kimwm_cluster,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
cloud.Petr_controller1_num_cpu,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
cloud.Petr-se-xdbav_antiaffinity_setting,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
cloud.Petr-se-kimwm_drs_setting,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
cloud.privilege,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
cloud.Petr-se-xdbav_connection_state,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
cloud.Petr_controller1_memory,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
cloud.vcenter_version,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
cloud.wdc-06-vc10c01_defaultVmBehavior,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
cloud.Petr-se-kimwm_object_id,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
cloud.Petr-se-kimwm_antiaffinity_name,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
cloud.Petr-se-kimwm_connection_state,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
cloud.Petr-se-kimwm_host_placement,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
cloud.Petr_controller1_antiaffinity_name,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
